N	R	I
0	1260.98	9.7e-05
1	1261.0	9.7e-05
2	1261.01	9.7e-05
3	1260.99	9.7e-05
4	1260.99	9.7e-05
5	1261.02	9.7e-05
6	1261.01	9.7e-05
7	1260.98	9.7e-05
8	1260.99	9.7e-05
9	1260.98	9.7e-05
10	1260.98	9.7e-05
11	1260.98	9.7e-05
12	1261.02	9.7e-05
13	1261.02	9.7e-05
14	1260.99	9.7e-05
15	1261.03	9.7e-05
16	1261.0	9.7e-05
17	1260.98	9.7e-05
18	1261.0	9.7e-05
19	1261.0	9.7e-05
20	1260.99	9.7e-05
21	1261.0	9.7e-05
22	1261.0	9.7e-05
23	1260.99	9.7e-05
24	1261.0	9.7e-05
25	1260.99	9.7e-05
26	1260.99	9.7e-05
27	1261.01	9.7e-05
28	1261.0	9.7e-05
29	1261.0	9.7e-05
30	1261.03	9.7e-05
31	1261.01	9.7e-05
32	1261.0	9.7e-05
33	1261.02	9.7e-05
34	1261.04	9.7e-05
35	1261.03	9.7e-05
36	1261.03	9.7e-05
37	1261.04	9.7e-05
38	1261.04	9.7e-05
39	1261.04	9.7e-05
40	1261.04	9.7e-05
41	1261.02	9.7e-05
42	1261.02	9.7e-05
43	1261.01	9.7e-05
44	1261.01	9.7e-05
45	1261.01	9.7e-05
46	1261.03	9.7e-05
47	1261.02	9.7e-05
48	1261.03	9.7e-05
49	1261.05	9.7e-05
50	1261.03	9.7e-05
51	1261.04	9.7e-05
52	1261.01	9.7e-05
53	1261.02	9.7e-05
54	1261.03	9.7e-05
55	1261.01	9.7e-05
56	1261.02	9.7e-05
57	1261.02	9.7e-05
58	1261.03	9.7e-05
59	1261.01	9.7e-05
60	1261.03	9.7e-05
61	1261.03	9.7e-05
62	1261.02	9.7e-05
63	1261.03	9.7e-05
64	1261.01	9.7e-05
65	1261.0	9.7e-05
66	1261.02	9.7e-05
67	1261.0	9.7e-05
68	1261.0	9.7e-05
69	1261.02	9.7e-05
70	1260.99	9.7e-05
71	1261.01	9.7e-05
72	1261.01	9.7e-05
73	1261.0	9.7e-05
74	1261.0	9.7e-05
75	1261.0	9.7e-05
76	1261.01	9.7e-05
77	1260.99	9.7e-05
78	1260.98	9.7e-05
79	1261.0	9.7e-05
80	1261.0	9.7e-05
81	1261.0	9.7e-05
82	1261.0	9.7e-05
83	1261.0	9.7e-05
84	1260.99	9.7e-05
85	1261.01	9.7e-05
86	1260.99	9.7e-05
87	1261.0	9.7e-05
88	1261.0	9.7e-05
89	1261.0	9.7e-05
90	1261.02	9.7e-05
91	1261.0	9.7e-05
92	1261.02	9.7e-05
93	1261.02	9.7e-05
94	1261.0	9.7e-05
95	1261.03	9.7e-05
96	1261.0	9.7e-05
97	1260.99	9.7e-05
98	1261.0	9.7e-05
99	1261.0	9.7e-05
