N	R	I
0	868.425	9.7e-05
1	868.407	9.7e-05
2	868.4	9.7e-05
3	868.425	9.7e-05
4	868.445	9.7e-05
5	868.439	9.7e-05
6	868.426	9.7e-05
7	868.426	9.7e-05
8	868.414	9.7e-05
9	868.412	9.7e-05
10	868.403	9.7e-05
11	868.395	9.7e-05
12	868.416	9.7e-05
13	868.389	9.7e-05
14	868.399	9.7e-05
15	868.397	9.7e-05
16	868.419	9.7e-05
17	868.418	9.7e-05
18	868.434	9.7e-05
19	868.399	9.7e-05
20	868.412	9.7e-05
21	868.435	9.7e-05
22	868.396	9.7e-05
23	868.415	9.7e-05
24	868.381	9.7e-05
25	868.389	9.7e-05
26	868.386	9.7e-05
27	868.381	9.7e-05
28	868.393	9.7e-05
29	868.376	9.7e-05
30	868.405	9.7e-05
31	868.387	9.7e-05
32	868.398	9.7e-05
33	868.411	9.7e-05
34	868.406	9.7e-05
35	868.414	9.7e-05
36	868.42	9.7e-05
37	868.401	9.7e-05
38	868.394	9.7e-05
39	868.402	9.7e-05
40	868.375	9.7e-05
41	868.414	9.7e-05
42	868.421	9.7e-05
43	868.404	9.7e-05
44	868.401	9.7e-05
45	868.408	9.7e-05
46	868.421	9.7e-05
47	868.404	9.7e-05
48	868.409	9.7e-05
49	868.403	9.7e-05
50	868.411	9.7e-05
51	868.382	9.7e-05
52	868.398	9.7e-05
53	868.391	9.7e-05
54	868.402	9.7e-05
55	868.399	9.7e-05
56	868.387	9.7e-05
57	868.387	9.7e-05
58	868.391	9.7e-05
59	868.409	9.7e-05
60	868.403	9.7e-05
61	868.421	9.7e-05
62	868.409	9.7e-05
63	868.407	9.7e-05
64	868.407	9.7e-05
65	868.418	9.7e-05
66	868.398	9.7e-05
67	868.413	9.7e-05
68	868.423	9.7e-05
69	868.397	9.7e-05
70	868.429	9.7e-05
71	868.425	9.7e-05
72	868.418	9.7e-05
73	868.43	9.7e-05
74	868.417	9.7e-05
75	868.419	9.7e-05
76	868.44	9.7e-05
77	868.421	9.7e-05
78	868.418	9.7e-05
79	868.428	9.7e-05
80	868.433	9.7e-05
81	868.424	9.7e-05
82	868.428	9.7e-05
83	868.438	9.7e-05
84	868.412	9.7e-05
85	868.437	9.7e-05
86	868.434	9.7e-05
87	868.445	9.7e-05
88	868.452	9.7e-05
89	868.445	9.7e-05
90	868.416	9.7e-05
91	868.431	9.7e-05
92	868.445	9.7e-05
93	868.437	9.7e-05
94	868.441	9.7e-05
95	868.424	9.7e-05
96	868.432	9.7e-05
97	868.422	9.7e-05
98	868.42	9.7e-05
99	868.437	9.7e-05
100	868.427	9.7e-05
101	868.434	9.7e-05
102	868.415	9.7e-05
103	868.42	9.7e-05
104	868.433	9.7e-05
105	868.44	9.7e-05
106	868.435	9.7e-05
107	868.409	9.7e-05
108	868.425	9.7e-05
109	868.421	9.7e-05
110	868.436	9.7e-05
111	868.411	9.7e-05
112	868.443	9.7e-05
113	868.428	9.7e-05
114	868.424	9.7e-05
115	868.432	9.7e-05
116	868.426	9.7e-05
117	868.447	9.7e-05
118	868.446	9.7e-05
119	868.438	9.7e-05
120	868.448	9.7e-05
121	868.447	9.7e-05
122	868.451	9.7e-05
123	868.435	9.7e-05
124	868.45	9.7e-05
125	868.418	9.7e-05
126	868.442	9.7e-05
127	868.409	9.7e-05
128	868.421	9.7e-05
129	868.425	9.7e-05
130	868.438	9.7e-05
131	868.454	9.7e-05
132	868.458	9.7e-05
133	868.438	9.7e-05
134	868.42	9.7e-05
135	868.436	9.7e-05
136	868.421	9.7e-05
137	868.436	9.7e-05
138	868.428	9.7e-05
139	868.438	9.7e-05
140	868.43	9.7e-05
141	868.456	9.7e-05
142	868.455	9.7e-05
143	868.442	9.7e-05
144	868.427	9.7e-05
145	868.429	9.7e-05
146	868.428	9.7e-05
147	868.421	9.7e-05
148	868.417	9.7e-05
149	868.427	9.7e-05
150	868.442	9.7e-05
151	868.435	9.7e-05
152	868.432	9.7e-05
153	868.453	9.7e-05
154	868.456	9.7e-05
155	868.465	9.7e-05
156	868.438	9.7e-05
157	868.45	9.7e-05
158	868.44	9.7e-05
159	868.433	9.7e-05
160	868.432	9.7e-05
161	868.411	9.7e-05
