N	R	I
0	1083.56	9.7e-05
1	1083.56	9.7e-05
2	1083.57	9.7e-05
3	1083.59	9.7e-05
4	1083.62	9.7e-05
5	1083.6	9.7e-05
6	1083.55	9.7e-05
7	1083.57	9.7e-05
8	1083.57	9.7e-05
9	1083.59	9.7e-05
10	1083.6	9.7e-05
11	1083.58	9.7e-05
12	1083.58	9.7e-05
13	1083.56	9.7e-05
14	1083.58	9.7e-05
15	1083.59	9.7e-05
16	1083.58	9.7e-05
17	1083.58	9.7e-05
18	1083.6	9.7e-05
19	1083.58	9.7e-05
20	1083.56	9.7e-05
21	1083.56	9.7e-05
22	1083.59	9.7e-05
23	1083.58	9.7e-05
24	1083.6	9.7e-05
25	1083.59	9.7e-05
26	1083.57	9.7e-05
27	1083.59	9.7e-05
28	1083.56	9.7e-05
29	1083.56	9.7e-05
30	1083.6	9.7e-05
31	1083.61	9.7e-05
32	1083.6	9.7e-05
33	1083.63	9.7e-05
34	1083.64	9.7e-05
35	1083.62	9.7e-05
36	1083.63	9.7e-05
37	1083.62	9.7e-05
38	1083.63	9.7e-05
39	1083.6	9.7e-05
40	1083.62	9.7e-05
41	1083.68	9.7e-05
42	1083.65	9.7e-05
43	1083.65	9.7e-05
44	1083.65	9.7e-05
45	1083.66	9.7e-05
46	1083.68	9.7e-05
47	1083.67	9.7e-05
48	1083.67	9.7e-05
49	1083.72	9.7e-05
50	1083.73	9.7e-05
51	1083.73	9.7e-05
52	1083.75	9.7e-05
53	1083.74	9.7e-05
54	1083.76	9.7e-05
55	1083.79	9.7e-05
56	1083.79	9.7e-05
57	1083.79	9.7e-05
58	1083.8	9.7e-05
59	1083.83	9.7e-05
60	1083.84	9.7e-05
61	1083.83	9.7e-05
62	1083.85	9.7e-05
63	1083.88	9.7e-05
64	1083.9	9.7e-05
65	1083.92	9.7e-05
66	1083.95	9.7e-05
67	1083.97	9.7e-05
68	1083.97	9.7e-05
69	1084.0	9.7e-05
70	1084.02	9.7e-05
71	1084.03	9.7e-05
72	1084.05	9.7e-05
73	1084.08	9.7e-05
74	1084.07	9.7e-05
75	1084.11	9.7e-05
76	1084.13	9.7e-05
77	1084.16	9.7e-05
78	1084.17	9.7e-05
79	1084.19	9.7e-05
80	1084.23	9.7e-05
81	1084.26	9.7e-05
82	1084.27	9.7e-05
83	1084.3	9.7e-05
84	1084.29	9.7e-05
85	1084.36	9.7e-05
86	1084.38	9.7e-05
87	1084.4	9.7e-05
88	1084.43	9.7e-05
89	1084.47	9.7e-05
90	1084.49	9.7e-05
91	1084.52	9.7e-05
92	1084.53	9.7e-05
93	1084.59	9.7e-05
94	1084.62	9.7e-05
95	1084.63	9.7e-05
96	1084.69	9.7e-05
97	1084.72	9.7e-05
98	1084.71	9.7e-05
99	1084.8	9.7e-05
100	1084.83	9.7e-05
101	1084.87	9.7e-05
102	1084.9	9.7e-05
103	1084.97	9.7e-05
104	1084.98	9.7e-05
105	1085.0	9.7e-05
106	1085.06	9.7e-05
107	1085.07	9.7e-05
108	1085.12	9.7e-05
109	1085.16	9.7e-05
110	1085.18	9.7e-05
111	1085.26	9.7e-05
112	1085.29	9.7e-05
113	1085.32	9.7e-05
114	1085.39	9.7e-05
115	1085.42	9.7e-05
116	1085.46	9.7e-05
117	1085.48	9.7e-05
118	1085.56	9.7e-05
119	1085.63	9.7e-05
120	1085.63	9.7e-05
121	1085.68	9.7e-05
122	1085.72	9.7e-05
123	1085.76	9.7e-05
124	1085.78	9.7e-05
125	1085.84	9.7e-05
126	1085.89	9.7e-05
127	1085.9	9.7e-05
128	1085.98	9.7e-05
129	1086.0	9.7e-05
130	1086.07	9.7e-05
131	1086.1	9.7e-05
132	1086.11	9.7e-05
133	1086.17	9.7e-05
134	1086.2	9.7e-05
135	1086.26	9.7e-05
136	1086.31	9.7e-05
137	1086.36	9.7e-05
138	1086.39	9.7e-05
139	1086.43	9.7e-05
140	1086.47	9.7e-05
141	1086.51	9.7e-05
142	1086.57	9.7e-05
143	1086.6	9.7e-05
144	1086.63	9.7e-05
145	1086.7	9.7e-05
146	1086.74	9.7e-05
147	1086.78	9.7e-05
148	1086.78	9.7e-05
149	1086.82	9.7e-05
150	1086.88	9.7e-05
151	1086.89	9.7e-05
152	1086.96	9.7e-05
153	1087.0	9.7e-05
154	1087.06	9.7e-05
155	1087.12	9.7e-05
156	1087.12	9.7e-05
157	1087.15	9.7e-05
158	1087.2	9.7e-05
159	1087.21	9.7e-05
160	1087.25	9.7e-05
161	1087.3	9.7e-05
162	1087.33	9.7e-05
163	1087.33	9.7e-05
164	1087.39	9.7e-05
165	1087.41	9.7e-05
166	1087.45	9.7e-05
167	1087.46	9.7e-05
168	1087.51	9.7e-05
169	1087.54	9.7e-05
170	1087.56	9.7e-05
171	1087.61	9.7e-05
172	1087.63	9.7e-05
173	1087.68	9.7e-05
174	1087.67	9.7e-05
175	1087.7	9.7e-05
176	1087.72	9.7e-05
177	1087.73	9.7e-05
178	1087.77	9.7e-05
179	1087.79	9.7e-05
180	1087.82	9.7e-05
181	1087.82	9.7e-05
182	1087.86	9.7e-05
183	1087.88	9.7e-05
184	1087.88	9.7e-05
185	1087.91	9.7e-05
186	1087.91	9.7e-05
187	1087.94	9.7e-05
188	1087.97	9.7e-05
189	1087.97	9.7e-05
