N	R	I
0	1011.08	9.7e-05
1	1011.1	9.7e-05
2	1011.11	9.7e-05
3	1011.1	9.7e-05
4	1011.12	9.7e-05
5	1011.11	9.7e-05
6	1011.09	9.7e-05
7	1011.09	9.7e-05
8	1011.1	9.7e-05
9	1011.09	9.7e-05
10	1011.13	9.7e-05
11	1011.09	9.7e-05
12	1011.11	9.7e-05
13	1011.1	9.7e-05
14	1011.09	9.7e-05
15	1011.1	9.7e-05
16	1011.08	9.7e-05
17	1011.08	9.7e-05
18	1011.1	9.7e-05
19	1011.1	9.7e-05
20	1011.09	9.7e-05
21	1011.09	9.7e-05
22	1011.05	9.7e-05
23	1011.09	9.7e-05
24	1011.11	9.7e-05
25	1011.11	9.7e-05
26	1011.12	9.7e-05
27	1011.1	9.7e-05
28	1011.12	9.7e-05
29	1011.13	9.7e-05
30	1011.14	9.7e-05
31	1011.14	9.7e-05
32	1011.13	9.7e-05
33	1011.15	9.7e-05
34	1011.19	9.7e-05
35	1011.19	9.7e-05
36	1011.19	9.7e-05
37	1011.21	9.7e-05
38	1011.19	9.7e-05
39	1011.22	9.7e-05
40	1011.2	9.7e-05
41	1011.23	9.7e-05
42	1011.21	9.7e-05
43	1011.24	9.7e-05
44	1011.25	9.7e-05
45	1011.27	9.7e-05
46	1011.27	9.7e-05
47	1011.3	9.7e-05
48	1011.35	9.7e-05
49	1011.33	9.7e-05
50	1011.33	9.7e-05
51	1011.32	9.7e-05
52	1011.35	9.7e-05
53	1011.34	9.7e-05
54	1011.38	9.7e-05
55	1011.37	9.7e-05
56	1011.38	9.7e-05
57	1011.4	9.7e-05
58	1011.41	9.7e-05
59	1011.44	9.7e-05
60	1011.45	9.7e-05
61	1011.44	9.7e-05
62	1011.48	9.7e-05
63	1011.46	9.7e-05
64	1011.51	9.7e-05
65	1011.52	9.7e-05
66	1011.53	9.7e-05
67	1011.55	9.7e-05
68	1011.55	9.7e-05
69	1011.57	9.7e-05
70	1011.6	9.7e-05
71	1011.61	9.7e-05
72	1011.62	9.7e-05
73	1011.63	9.7e-05
74	1011.66	9.7e-05
75	1011.68	9.7e-05
76	1011.7	9.7e-05
77	1011.73	9.7e-05
78	1011.75	9.7e-05
79	1011.77	9.7e-05
80	1011.78	9.7e-05
81	1011.79	9.7e-05
82	1011.81	9.7e-05
83	1011.86	9.7e-05
84	1011.89	9.7e-05
85	1011.88	9.7e-05
86	1011.94	9.7e-05
87	1011.95	9.7e-05
88	1011.96	9.7e-05
89	1011.99	9.7e-05
90	1012.02	9.7e-05
91	1012.03	9.7e-05
92	1012.05	9.7e-05
93	1012.06	9.7e-05
94	1012.1	9.7e-05
95	1012.12	9.7e-05
96	1012.16	9.7e-05
97	1012.17	9.7e-05
98	1012.22	9.7e-05
99	1012.26	9.7e-05
100	1012.29	9.7e-05
101	1012.32	9.7e-05
102	1012.34	9.7e-05
103	1012.38	9.7e-05
104	1012.38	9.7e-05
105	1012.42	9.7e-05
106	1012.43	9.7e-05
107	1012.47	9.7e-05
108	1012.49	9.7e-05
109	1012.51	9.7e-05
110	1012.55	9.7e-05
111	1012.56	9.7e-05
112	1012.56	9.7e-05
113	1012.58	9.7e-05
114	1012.62	9.7e-05
115	1012.65	9.7e-05
116	1012.66	9.7e-05
117	1012.71	9.7e-05
118	1012.73	9.7e-05
119	1012.76	9.7e-05
120	1012.79	9.7e-05
121	1012.83	9.7e-05
122	1012.86	9.7e-05
123	1012.87	9.7e-05
124	1012.89	9.7e-05
125	1012.94	9.7e-05
126	1012.96	9.7e-05
127	1013.01	9.7e-05
128	1013.0	9.7e-05
129	1013.02	9.7e-05
130	1013.04	9.7e-05
131	1013.09	9.7e-05
132	1013.09	9.7e-05
133	1013.11	9.7e-05
134	1013.15	9.7e-05
135	1013.19	9.7e-05
136	1013.19	9.7e-05
137	1013.21	9.7e-05
138	1013.26	9.7e-05
139	1013.27	9.7e-05
