N	R	I
0	1099.23	9.7e-05
1	1099.22	9.7e-05
2	1099.18	9.7e-05
3	1099.23	9.7e-05
4	1099.17	9.7e-05
5	1099.2	9.7e-05
6	1099.17	9.7e-05
7	1099.2	9.7e-05
8	1099.18	9.7e-05
9	1099.16	9.7e-05
10	1099.18	9.7e-05
11	1099.18	9.7e-05
12	1099.15	9.7e-05
13	1099.16	9.7e-05
14	1099.15	9.7e-05
15	1099.15	9.7e-05
16	1099.16	9.7e-05
17	1099.13	9.7e-05
18	1099.12	9.7e-05
19	1099.12	9.7e-05
20	1099.16	9.7e-05
21	1099.13	9.7e-05
22	1099.17	9.7e-05
23	1099.16	9.7e-05
24	1099.16	9.7e-05
25	1099.16	9.7e-05
26	1099.18	9.7e-05
27	1099.19	9.7e-05
28	1099.21	9.7e-05
29	1099.22	9.7e-05
30	1099.24	9.7e-05
31	1099.21	9.7e-05
32	1099.23	9.7e-05
33	1099.23	9.7e-05
34	1099.29	9.7e-05
35	1099.29	9.7e-05
36	1099.27	9.7e-05
37	1099.31	9.7e-05
38	1099.32	9.7e-05
39	1099.3	9.7e-05
40	1099.31	9.7e-05
