N	R	I
0	908.02	9.7e-05
1	908.023	9.7e-05
2	908.025	9.7e-05
3	908.008	9.7e-05
4	908.016	9.7e-05
5	908.012	9.7e-05
6	908.009	9.7e-05
7	908.027	9.7e-05
8	908.001	9.7e-05
9	908.01	9.7e-05
10	908.01	9.7e-05
11	908.016	9.7e-05
12	908.003	9.7e-05
13	907.995	9.7e-05
14	907.993	9.7e-05
15	907.999	9.7e-05
16	908.009	9.7e-05
17	908.01	9.7e-05
18	907.995	9.7e-05
19	908.021	9.7e-05
20	908.0	9.7e-05
21	908.003	9.7e-05
22	908.011	9.7e-05
23	908.009	9.7e-05
24	908.024	9.7e-05
25	908.02	9.7e-05
26	907.993	9.7e-05
27	908.001	9.7e-05
28	908.022	9.7e-05
29	908.007	9.7e-05
30	908.006	9.7e-05
31	908.016	9.7e-05
32	908.012	9.7e-05
33	908.004	9.7e-05
34	908.012	9.7e-05
35	908.013	9.7e-05
36	907.996	9.7e-05
37	908.033	9.7e-05
38	908.02	9.7e-05
39	908.029	9.7e-05
40	908.031	9.7e-05
41	908.016	9.7e-05
42	908.031	9.7e-05
43	908.039	9.7e-05
44	908.026	9.7e-05
45	908.032	9.7e-05
46	908.038	9.7e-05
47	908.024	9.7e-05
48	908.022	9.7e-05
49	908.03	9.7e-05
50	908.033	9.7e-05
51	908.023	9.7e-05
52	908.031	9.7e-05
53	908.047	9.7e-05
54	908.043	9.7e-05
55	908.033	9.7e-05
56	908.022	9.7e-05
57	908.034	9.7e-05
58	908.04	9.7e-05
59	908.035	9.7e-05
60	908.019	9.7e-05
61	908.021	9.7e-05
62	908.022	9.7e-05
63	908.003	9.7e-05
64	908.005	9.7e-05
65	908.001	9.7e-05
66	908.033	9.7e-05
67	908.015	9.7e-05
68	908.023	9.7e-05
69	907.988	9.7e-05
70	907.982	9.7e-05
71	908.024	9.7e-05
72	908.025	9.7e-05
73	908.029	9.7e-05
74	908.043	9.7e-05
75	908.037	9.7e-05
76	908.029	9.7e-05
77	908.037	9.7e-05
78	908.05	9.7e-05
79	908.042	9.7e-05
80	908.048	9.7e-05
81	908.042	9.7e-05
82	908.049	9.7e-05
83	908.044	9.7e-05
84	908.055	9.7e-05
85	908.033	9.7e-05
86	908.036	9.7e-05
87	908.0	9.7e-05
88	908.06	9.7e-05
89	908.059	9.7e-05
90	908.051	9.7e-05
91	908.042	9.7e-05
92	908.043	9.7e-05
93	908.067	9.7e-05
94	908.049	9.7e-05
95	908.079	9.7e-05
96	908.059	9.7e-05
97	908.069	9.7e-05
98	908.052	9.7e-05
99	908.043	9.7e-05
100	908.054	9.7e-05
101	908.034	9.7e-05
102	908.035	9.7e-05
103	908.049	9.7e-05
104	908.058	9.7e-05
105	908.053	9.7e-05
106	908.047	9.7e-05
107	908.06	9.7e-05
108	908.024	9.7e-05
109	908.056	9.7e-05
110	908.062	9.7e-05
111	908.058	9.7e-05
112	908.054	9.7e-05
113	908.047	9.7e-05
114	908.053	9.7e-05
115	908.043	9.7e-05
116	908.047	9.7e-05
117	908.04	9.7e-05
118	908.049	9.7e-05
119	908.071	9.7e-05
120	908.07	9.7e-05
121	908.063	9.7e-05
122	908.055	9.7e-05
123	908.058	9.7e-05
124	908.074	9.7e-05
125	908.077	9.7e-05
126	908.083	9.7e-05
127	908.06	9.7e-05
128	908.052	9.7e-05
129	908.074	9.7e-05
130	908.065	9.7e-05
131	908.049	9.7e-05
132	908.066	9.7e-05
133	908.066	9.7e-05
134	908.07	9.7e-05
135	908.067	9.7e-05
136	908.065	9.7e-05
137	908.056	9.7e-05
138	908.044	9.7e-05
139	908.066	9.7e-05
140	908.08	9.7e-05
141	908.049	9.7e-05
142	908.053	9.7e-05
143	908.055	9.7e-05
144	908.044	9.7e-05
145	908.055	9.7e-05
146	908.05	9.7e-05
147	908.042	9.7e-05
148	908.035	9.7e-05
149	908.042	9.7e-05
150	908.052	9.7e-05
151	908.063	9.7e-05
152	908.053	9.7e-05
153	908.053	9.7e-05
154	908.054	9.7e-05
155	908.055	9.7e-05
156	908.053	9.7e-05
157	908.061	9.7e-05
158	908.045	9.7e-05
159	908.051	9.7e-05
160	908.069	9.7e-05
161	908.076	9.7e-05
162	908.067	9.7e-05
163	908.064	9.7e-05
164	908.044	9.7e-05
165	908.055	9.7e-05
166	908.058	9.7e-05
167	908.048	9.7e-05
168	908.062	9.7e-05
169	908.065	9.7e-05
170	908.075	9.7e-05
171	908.075	9.7e-05
172	908.055	9.7e-05
173	908.052	9.7e-05
174	908.047	9.7e-05
175	908.044	9.7e-05
176	908.04	9.7e-05
177	908.028	9.7e-05
178	908.045	9.7e-05
179	908.039	9.7e-05
180	908.045	9.7e-05
181	908.037	9.7e-05
182	908.064	9.7e-05
183	908.057	9.7e-05
184	908.06	9.7e-05
185	908.07	9.7e-05
186	908.048	9.7e-05
187	908.063	9.7e-05
188	908.058	9.7e-05
189	908.054	9.7e-05
190	908.063	9.7e-05
191	908.072	9.7e-05
192	908.071	9.7e-05
193	908.083	9.7e-05
194	908.069	9.7e-05
195	908.1	9.7e-05
196	908.086	9.7e-05
197	908.086	9.7e-05
198	908.074	9.7e-05
199	908.075	9.7e-05
200	908.093	9.7e-05
201	908.087	9.7e-05
202	908.095	9.7e-05
203	908.098	9.7e-05
204	908.085	9.7e-05
205	908.093	9.7e-05
206	908.081	9.7e-05
207	908.082	9.7e-05
208	908.09	9.7e-05
209	908.078	9.7e-05
210	908.072	9.7e-05
211	908.089	9.7e-05
212	908.091	9.7e-05
213	908.091	9.7e-05
214	908.099	9.7e-05
215	908.1	9.7e-05
216	908.091	9.7e-05
217	908.096	9.7e-05
218	908.098	9.7e-05
219	908.097	9.7e-05
220	908.118	9.7e-05
221	908.121	9.7e-05
222	908.131	9.7e-05
223	908.108	9.7e-05
224	908.11	9.7e-05
