N	R	I
0	1154.04	9.7e-05
1	1154.02	9.7e-05
2	1154.02	9.7e-05
3	1154.0	9.7e-05
4	1154.0	9.7e-05
5	1154.03	9.7e-05
6	1154.02	9.7e-05
7	1154.01	9.7e-05
8	1154.01	9.7e-05
9	1154.02	9.7e-05
10	1154.01	9.7e-05
11	1154.0	9.7e-05
12	1154.02	9.7e-05
13	1154.03	9.7e-05
14	1154.02	9.7e-05
15	1154.01	9.7e-05
16	1153.99	9.7e-05
17	1154.0	9.7e-05
18	1153.99	9.7e-05
19	1154.01	9.7e-05
20	1154.02	9.7e-05
21	1154.03	9.7e-05
22	1154.0	9.7e-05
23	1154.0	9.7e-05
24	1154.03	9.7e-05
25	1154.01	9.7e-05
26	1154.0	9.7e-05
27	1154.01	9.7e-05
28	1154.03	9.7e-05
29	1154.01	9.7e-05
30	1154.01	9.7e-05
31	1154.02	9.7e-05
32	1153.99	9.7e-05
33	1154.0	9.7e-05
34	1154.02	9.7e-05
35	1154.02	9.7e-05
36	1154.03	9.7e-05
37	1154.01	9.7e-05
38	1154.02	9.7e-05
39	1154.03	9.7e-05
40	1154.03	9.7e-05
41	1153.99	9.7e-05
42	1154.02	9.7e-05
43	1154.02	9.7e-05
44	1154.0	9.7e-05
45	1154.0	9.7e-05
46	1154.02	9.7e-05
47	1154.01	9.7e-05
48	1154.02	9.7e-05
49	1154.03	9.7e-05
50	1154.03	9.7e-05
51	1154.04	9.7e-05
52	1154.05	9.7e-05
53	1154.03	9.7e-05
54	1154.05	9.7e-05
55	1154.03	9.7e-05
56	1154.04	9.7e-05
57	1154.03	9.7e-05
58	1154.03	9.7e-05
59	1154.0	9.7e-05
60	1154.03	9.7e-05
61	1154.02	9.7e-05
62	1154.03	9.7e-05
63	1154.03	9.7e-05
64	1154.02	9.7e-05
65	1154.01	9.7e-05
66	1154.02	9.7e-05
67	1154.04	9.7e-05
68	1154.05	9.7e-05
69	1154.03	9.7e-05
70	1154.04	9.7e-05
71	1154.02	9.7e-05
72	1153.98	9.7e-05
73	1154.01	9.7e-05
74	1154.02	9.7e-05
75	1154.03	9.7e-05
76	1154.02	9.7e-05
77	1154.01	9.7e-05
78	1154.03	9.7e-05
79	1154.01	9.7e-05
80	1154.01	9.7e-05
81	1154.02	9.7e-05
82	1154.01	9.7e-05
83	1154.02	9.7e-05
84	1154.02	9.7e-05
85	1154.04	9.7e-05
86	1154.03	9.7e-05
87	1154.04	9.7e-05
88	1154.01	9.7e-05
89	1154.03	9.7e-05
90	1154.04	9.7e-05
91	1154.02	9.7e-05
92	1154.02	9.7e-05
93	1154.01	9.7e-05
94	1154.02	9.7e-05
95	1154.04	9.7e-05
96	1154.05	9.7e-05
97	1154.04	9.7e-05
98	1154.03	9.7e-05
99	1154.04	9.7e-05
