N	R	I
0	1098.37	9.7e-05
1	1098.41	9.7e-05
2	1098.37	9.7e-05
3	1098.38	9.7e-05
4	1098.39	9.7e-05
5	1098.38	9.7e-05
6	1098.38	9.7e-05
7	1098.4	9.7e-05
8	1098.38	9.7e-05
9	1098.38	9.7e-05
10	1098.4	9.7e-05
11	1098.39	9.7e-05
12	1098.4	9.7e-05
13	1098.4	9.7e-05
14	1098.39	9.7e-05
15	1098.37	9.7e-05
16	1098.42	9.7e-05
17	1098.4	9.7e-05
18	1098.37	9.7e-05
19	1098.37	9.7e-05
20	1098.37	9.7e-05
21	1098.39	9.7e-05
22	1098.38	9.7e-05
23	1098.41	9.7e-05
24	1098.38	9.7e-05
25	1098.41	9.7e-05
26	1098.39	9.7e-05
27	1098.4	9.7e-05
28	1098.41	9.7e-05
29	1098.39	9.7e-05
30	1098.39	9.7e-05
31	1098.4	9.7e-05
32	1098.38	9.7e-05
33	1098.39	9.7e-05
34	1098.42	9.7e-05
35	1098.4	9.7e-05
36	1098.4	9.7e-05
37	1098.38	9.7e-05
38	1098.38	9.7e-05
39	1098.41	9.7e-05
40	1098.42	9.7e-05
