N	R	I
0	881.606	9.7e-05
1	881.615	9.7e-05
2	881.595	9.7e-05
3	881.609	9.7e-05
4	881.583	9.7e-05
5	881.609	9.7e-05
6	881.585	9.7e-05
7	881.61	9.7e-05
8	881.607	9.7e-05
9	881.613	9.7e-05
10	881.62	9.7e-05
11	881.601	9.7e-05
12	881.588	9.7e-05
13	881.613	9.7e-05
14	881.62	9.7e-05
15	881.605	9.7e-05
16	881.641	9.7e-05
17	881.617	9.7e-05
18	881.62	9.7e-05
19	881.607	9.7e-05
20	881.625	9.7e-05
21	881.606	9.7e-05
22	881.603	9.7e-05
23	881.62	9.7e-05
24	881.6	9.7e-05
25	881.614	9.7e-05
26	881.623	9.7e-05
27	881.617	9.7e-05
28	881.604	9.7e-05
29	881.604	9.7e-05
30	881.613	9.7e-05
31	881.623	9.7e-05
32	881.615	9.7e-05
33	881.613	9.7e-05
34	881.625	9.7e-05
35	881.622	9.7e-05
36	881.61	9.7e-05
37	881.599	9.7e-05
38	881.603	9.7e-05
39	881.616	9.7e-05
40	881.628	9.7e-05
41	881.616	9.7e-05
42	881.612	9.7e-05
43	881.611	9.7e-05
44	881.61	9.7e-05
45	881.637	9.7e-05
46	881.603	9.7e-05
47	881.611	9.7e-05
48	881.614	9.7e-05
49	881.605	9.7e-05
50	881.607	9.7e-05
51	881.618	9.7e-05
52	881.605	9.7e-05
53	881.592	9.7e-05
54	881.604	9.7e-05
55	881.599	9.7e-05
56	881.598	9.7e-05
57	881.595	9.7e-05
58	881.603	9.7e-05
59	881.603	9.7e-05
60	881.589	9.7e-05
61	881.591	9.7e-05
62	881.613	9.7e-05
63	881.594	9.7e-05
64	881.592	9.7e-05
65	881.614	9.7e-05
66	881.606	9.7e-05
67	881.607	9.7e-05
68	881.597	9.7e-05
69	881.612	9.7e-05
70	881.601	9.7e-05
71	881.596	9.7e-05
72	881.602	9.7e-05
73	881.594	9.7e-05
74	881.601	9.7e-05
75	881.619	9.7e-05
76	881.628	9.7e-05
77	881.611	9.7e-05
78	881.61	9.7e-05
79	881.604	9.7e-05
80	881.628	9.7e-05
81	881.614	9.7e-05
82	881.601	9.7e-05
83	881.611	9.7e-05
84	881.602	9.7e-05
85	881.62	9.7e-05
86	881.621	9.7e-05
87	881.617	9.7e-05
88	881.609	9.7e-05
89	881.611	9.7e-05
90	881.632	9.7e-05
91	881.637	9.7e-05
92	881.633	9.7e-05
93	881.649	9.7e-05
94	881.611	9.7e-05
95	881.604	9.7e-05
96	881.611	9.7e-05
97	881.615	9.7e-05
98	881.633	9.7e-05
99	881.626	9.7e-05
100	881.612	9.7e-05
101	881.618	9.7e-05
102	881.635	9.7e-05
103	881.608	9.7e-05
104	881.641	9.7e-05
105	881.641	9.7e-05
106	881.644	9.7e-05
107	881.658	9.7e-05
108	881.646	9.7e-05
109	881.632	9.7e-05
110	881.644	9.7e-05
111	881.65	9.7e-05
112	881.634	9.7e-05
113	881.632	9.7e-05
114	881.631	9.7e-05
115	881.644	9.7e-05
116	881.647	9.7e-05
117	881.643	9.7e-05
118	881.662	9.7e-05
119	881.625	9.7e-05
120	881.651	9.7e-05
121	881.643	9.7e-05
122	881.666	9.7e-05
123	881.618	9.7e-05
124	881.639	9.7e-05
125	881.642	9.7e-05
126	881.657	9.7e-05
127	881.655	9.7e-05
128	881.64	9.7e-05
129	881.636	9.7e-05
130	881.653	9.7e-05
131	881.653	9.7e-05
132	881.66	9.7e-05
133	881.651	9.7e-05
134	881.653	9.7e-05
135	881.658	9.7e-05
136	881.663	9.7e-05
137	881.651	9.7e-05
138	881.64	9.7e-05
139	881.636	9.7e-05
140	881.634	9.7e-05
141	881.654	9.7e-05
142	881.644	9.7e-05
143	881.652	9.7e-05
144	881.64	9.7e-05
145	881.626	9.7e-05
146	881.634	9.7e-05
147	881.642	9.7e-05
148	881.643	9.7e-05
149	881.659	9.7e-05
150	881.649	9.7e-05
151	881.625	9.7e-05
152	881.629	9.7e-05
153	881.615	9.7e-05
154	881.629	9.7e-05
155	881.626	9.7e-05
156	881.624	9.7e-05
157	881.614	9.7e-05
158	881.624	9.7e-05
159	881.63	9.7e-05
160	881.648	9.7e-05
161	881.644	9.7e-05
