N	R	I
0	868.489	9.7e-05
1	868.5	9.7e-05
2	868.486	9.7e-05
3	868.492	9.7e-05
4	868.466	9.7e-05
5	868.481	9.7e-05
6	868.469	9.7e-05
7	868.486	9.7e-05
8	868.478	9.7e-05
9	868.461	9.7e-05
10	868.473	9.7e-05
11	868.481	9.7e-05
12	868.476	9.7e-05
13	868.47	9.7e-05
14	868.48	9.7e-05
15	868.472	9.7e-05
16	868.473	9.7e-05
17	868.447	9.7e-05
18	868.462	9.7e-05
19	868.467	9.7e-05
20	868.485	9.7e-05
21	868.471	9.7e-05
22	868.472	9.7e-05
23	868.475	9.7e-05
24	868.485	9.7e-05
25	868.478	9.7e-05
26	868.481	9.7e-05
27	868.481	9.7e-05
28	868.471	9.7e-05
29	868.461	9.7e-05
30	868.471	9.7e-05
31	868.463	9.7e-05
32	868.446	9.7e-05
33	868.47	9.7e-05
34	868.468	9.7e-05
35	868.478	9.7e-05
36	868.496	9.7e-05
37	868.457	9.7e-05
38	868.45	9.7e-05
39	868.455	9.7e-05
40	868.464	9.7e-05
41	868.459	9.7e-05
42	868.443	9.7e-05
43	868.458	9.7e-05
44	868.479	9.7e-05
45	868.472	9.7e-05
46	868.474	9.7e-05
47	868.471	9.7e-05
48	868.462	9.7e-05
49	868.454	9.7e-05
50	868.471	9.7e-05
51	868.469	9.7e-05
52	868.471	9.7e-05
53	868.461	9.7e-05
54	868.46	9.7e-05
55	868.479	9.7e-05
56	868.46	9.7e-05
57	868.476	9.7e-05
58	868.478	9.7e-05
59	868.479	9.7e-05
60	868.478	9.7e-05
61	868.477	9.7e-05
62	868.484	9.7e-05
63	868.474	9.7e-05
64	868.477	9.7e-05
65	868.465	9.7e-05
66	868.462	9.7e-05
67	868.479	9.7e-05
68	868.474	9.7e-05
69	868.486	9.7e-05
70	868.47	9.7e-05
71	868.466	9.7e-05
72	868.499	9.7e-05
73	868.484	9.7e-05
74	868.504	9.7e-05
75	868.502	9.7e-05
76	868.501	9.7e-05
77	868.499	9.7e-05
78	868.505	9.7e-05
79	868.514	9.7e-05
80	868.501	9.7e-05
81	868.497	9.7e-05
82	868.482	9.7e-05
83	868.48	9.7e-05
84	868.478	9.7e-05
85	868.47	9.7e-05
86	868.477	9.7e-05
87	868.49	9.7e-05
88	868.465	9.7e-05
89	868.472	9.7e-05
90	868.47	9.7e-05
91	868.459	9.7e-05
92	868.471	9.7e-05
93	868.474	9.7e-05
94	868.483	9.7e-05
95	868.482	9.7e-05
96	868.481	9.7e-05
97	868.476	9.7e-05
98	868.477	9.7e-05
99	868.451	9.7e-05
100	868.483	9.7e-05
101	868.468	9.7e-05
102	868.465	9.7e-05
103	868.459	9.7e-05
104	868.458	9.7e-05
105	868.485	9.7e-05
106	868.48	9.7e-05
107	868.472	9.7e-05
108	868.468	9.7e-05
109	868.46	9.7e-05
110	868.474	9.7e-05
111	868.462	9.7e-05
112	868.469	9.7e-05
113	868.472	9.7e-05
114	868.478	9.7e-05
115	868.47	9.7e-05
116	868.467	9.7e-05
117	868.478	9.7e-05
118	868.464	9.7e-05
119	868.451	9.7e-05
120	868.452	9.7e-05
121	868.454	9.7e-05
122	868.467	9.7e-05
123	868.479	9.7e-05
124	868.455	9.7e-05
125	868.445	9.7e-05
126	868.458	9.7e-05
127	868.457	9.7e-05
128	868.462	9.7e-05
129	868.462	9.7e-05
130	868.459	9.7e-05
131	868.447	9.7e-05
132	868.464	9.7e-05
133	868.457	9.7e-05
134	868.461	9.7e-05
135	868.456	9.7e-05
136	868.473	9.7e-05
137	868.473	9.7e-05
138	868.473	9.7e-05
139	868.466	9.7e-05
140	868.465	9.7e-05
141	868.46	9.7e-05
142	868.449	9.7e-05
143	868.431	9.7e-05
144	868.464	9.7e-05
145	868.439	9.7e-05
146	868.431	9.7e-05
147	868.454	9.7e-05
148	868.448	9.7e-05
149	868.438	9.7e-05
150	868.467	9.7e-05
151	868.446	9.7e-05
152	868.46	9.7e-05
153	868.474	9.7e-05
154	868.453	9.7e-05
155	868.458	9.7e-05
156	868.462	9.7e-05
157	868.473	9.7e-05
158	868.479	9.7e-05
159	868.458	9.7e-05
160	868.463	9.7e-05
161	868.449	9.7e-05
