N	R	I
0	870.834	9.7e-05
1	870.828	9.7e-05
2	870.841	9.7e-05
3	870.825	9.7e-05
4	870.836	9.7e-05
5	870.832	9.7e-05
6	870.816	9.7e-05
7	870.827	9.7e-05
8	870.829	9.7e-05
9	870.822	9.7e-05
10	870.818	9.7e-05
11	870.816	9.7e-05
12	870.819	9.7e-05
13	870.821	9.7e-05
14	870.837	9.7e-05
15	870.839	9.7e-05
16	870.819	9.7e-05
17	870.836	9.7e-05
18	870.815	9.7e-05
19	870.838	9.7e-05
20	870.836	9.7e-05
21	870.828	9.7e-05
22	870.829	9.7e-05
23	870.83	9.7e-05
24	870.828	9.7e-05
25	870.814	9.7e-05
26	870.815	9.7e-05
27	870.825	9.7e-05
28	870.855	9.7e-05
29	870.851	9.7e-05
30	870.839	9.7e-05
31	870.848	9.7e-05
32	870.841	9.7e-05
33	870.849	9.7e-05
34	870.838	9.7e-05
35	870.844	9.7e-05
36	870.837	9.7e-05
37	870.862	9.7e-05
38	870.848	9.7e-05
39	870.851	9.7e-05
40	870.862	9.7e-05
41	870.847	9.7e-05
42	870.874	9.7e-05
43	870.85	9.7e-05
44	870.837	9.7e-05
45	870.849	9.7e-05
46	870.851	9.7e-05
47	870.841	9.7e-05
48	870.83	9.7e-05
49	870.83	9.7e-05
50	870.821	9.7e-05
51	870.82	9.7e-05
52	870.844	9.7e-05
53	870.833	9.7e-05
54	870.837	9.7e-05
55	870.844	9.7e-05
56	870.838	9.7e-05
57	870.857	9.7e-05
58	870.847	9.7e-05
59	870.854	9.7e-05
60	870.827	9.7e-05
61	870.818	9.7e-05
62	870.832	9.7e-05
63	870.832	9.7e-05
64	870.839	9.7e-05
65	870.83	9.7e-05
66	870.829	9.7e-05
67	870.803	9.7e-05
68	870.837	9.7e-05
69	870.826	9.7e-05
70	870.833	9.7e-05
71	870.839	9.7e-05
72	870.847	9.7e-05
73	870.829	9.7e-05
74	870.841	9.7e-05
75	870.827	9.7e-05
76	870.843	9.7e-05
77	870.841	9.7e-05
78	870.863	9.7e-05
79	870.827	9.7e-05
80	870.814	9.7e-05
81	870.811	9.7e-05
82	870.83	9.7e-05
83	870.832	9.7e-05
84	870.838	9.7e-05
85	870.836	9.7e-05
86	870.837	9.7e-05
87	870.829	9.7e-05
88	870.813	9.7e-05
